feature_code,year,measurement,units,value,tourism_activity,breakdown_of_domestic_tourism,expenditure_in_millions
S92000003,2019,Count,million pounds (GBP),1662,Shopping for items that you do not regularly buy,Expenditure,1662
S92000003,2016,Count,million pounds (GBP),469,Watched live sporting events (not on TV),Expenditure,469
S92000003,2014,Count,million pounds (GBP),892,"Night out to a bar, pub and/or club",Expenditure,892
S92000003,2017,Count,million pounds (GBP),354,"Special personal events e.g. wedding, graduation",Expenditure,354
S92000003,2015,Count,million pounds (GBP),400,Watched live sporting events (not on TV),Expenditure,400
S92000003,2014,Count,million pounds (GBP),421,Watched live sporting events (not on TV),Expenditure,421
S92000003,2013,Count,million pounds (GBP),243,Watched live sporting events (not on TV),Expenditure,243
S92000003,2015,Count,million pounds (GBP),264,Leisure activities e.g. hobbies & evening classes,Expenditure,264
S92000003,2018,Count,million pounds (GBP),285,Leisure activities e.g. hobbies & evening classes,Expenditure,285
S92000003,2014,Count,million pounds (GBP),1536,Shopping for items that you do not regularly buy,Expenditure,1536
S92000003,2018,Count,million pounds (GBP),265,"Special personal events e.g. wedding, graduation",Expenditure,265
S92000003,2016,Count,million pounds (GBP),261,Leisure activities e.g. hobbies & evening classes,Expenditure,261
S92000003,2017,Count,million pounds (GBP),421,Leisure activities e.g. hobbies & evening classes,Expenditure,421
S92000003,2014,Count,million pounds (GBP),469,Leisure activities e.g. hobbies & evening classes,Expenditure,469
S92000003,2019,Count,million pounds (GBP),476,"Sport participation, e.g. exercise classes, gym",Expenditure,476
S92000003,2017,Count,million pounds (GBP),374,"Sport participation, e.g. exercise classes, gym",Expenditure,374
S92000003,2015,Count,million pounds (GBP),392,"Special public event e.g. festival, exhibition",Expenditure,392
S92000003,2019,Count,million pounds (GBP),629,"Special public event e.g. festival, exhibition",Expenditure,629
S92000003,2014,Count,million pounds (GBP),311,"Special public event e.g. festival, exhibition",Expenditure,311
S92000003,2016,Count,million pounds (GBP),205,"Special public event e.g. festival, exhibition",Expenditure,205
S92000003,2017,Count,million pounds (GBP),394,"Special public event e.g. festival, exhibition",Expenditure,394
S92000003,2016,Count,million pounds (GBP),1892,Went out for a meal,Expenditure,1892
S92000003,2014,Count,million pounds (GBP),1966,Went out for a meal,Expenditure,1966
